,number,value,datetime_start,datetime_complete,duration,params_input_scaling,params_leaking_rate,params_ridge,params_spectral_radius,user_attrs_n_folds,user_attrs_n_inits,user_attrs_seeds,user_attrs_top10_accuracy,state
0,0,0.023936896978861446,2023-02-05 16:22:36,2023-02-05 16:28:04,0 days 00:05:28,31.871365494214587,0.35827878348881276,0.0008283816128361322,0.34057909631112715,3.0,1.0,[69065],0.16072621419753672,COMPLETE
1,1,0.020593077418057354,2023-02-05 16:28:04,2023-02-05 16:33:42,0 days 00:05:38,0.0009235426978102808,0.00022903648906658658,1.5184848179468492e-08,0.019865303378309888,3.0,1.0,[69065],0.12714299082569677,COMPLETE
2,2,0.023780993267876246,2023-02-05 16:33:42,2023-02-05 16:39:12,0 days 00:05:30,0.0015310656163406518,0.2518451096021912,6.585688079197692e-07,0.0011611642946959195,3.0,1.0,[69065],0.15866714736288604,COMPLETE
3,3,0.027024991427859666,2023-02-05 16:39:12,2023-02-05 16:44:32,0 days 00:05:20,0.00012538070234829052,5.523847098093297e-06,4.4838437318404905e-05,0.6716994172227275,3.0,1.0,[69065],0.17813823782617308,COMPLETE
4,4,0.02200357409553594,2023-02-05 16:44:32,2023-02-05 16:49:50,0 days 00:05:18,41.72317330600238,0.03927451416949232,4.473128570818584e-05,1.3511649035660305,3.0,1.0,[69065],0.14713830791833837,COMPLETE
5,5,0.02074476684370614,2023-02-05 16:49:50,2023-02-05 16:55:26,0 days 00:05:36,5.299069161214692,0.0008526595131296257,1.4234638856589082e-06,0.0002647692032524474,3.0,1.0,[69065],0.13171641165744355,COMPLETE
6,6,0.02039017677197347,2023-02-05 16:55:26,2023-02-05 17:00:51,0 days 00:05:25,54.787497390443484,0.00017113828307002937,2.1851036514106376e-05,0.0021239775291299156,3.0,1.0,[69065],0.12106951542712613,COMPLETE
7,7,0.022567573699039653,2023-02-05 17:00:51,2023-02-05 17:06:18,0 days 00:05:27,0.6712849791443555,0.018662938786880422,6.041600484574095e-07,51.834002972955645,3.0,1.0,[69065],0.14238405586674938,COMPLETE
8,8,0.008217979307254106,2023-02-05 17:06:18,2023-02-05 17:11:56,0 days 00:05:38,2.528452503779895,4.066177315003209e-05,0.006388574608735436,14.702429376168428,3.0,1.0,[69065],0.09287522568333585,COMPLETE
9,9,0.021941877963900996,2023-02-05 17:11:56,2023-02-05 17:17:27,0 days 00:05:31,19.145486648793593,0.04035688379069179,1.8117541903413515e-08,2.9464149232875037,3.0,1.0,[69065],0.1472122113534184,COMPLETE
10,10,0.02222236287094498,2023-02-05 17:17:27,2023-02-05 17:22:59,0 days 00:05:32,0.011317052927093806,0.061482401796067794,4.0366858693406306e-07,0.1724035825583731,3.0,1.0,[69065],0.1492253733141363,COMPLETE
11,11,0.018067791717131052,2023-02-05 17:22:59,2023-02-05 17:28:36,0 days 00:05:37,0.20513427876295745,1.2409518407661182e-05,0.0010742395610695782,0.04897220362008337,3.0,1.0,[69065],0.11983978400804884,COMPLETE
12,12,0.020338142660378103,2023-02-05 17:28:36,2023-02-05 17:34:13,0 days 00:05:37,0.18215927662339187,0.0007595071677830258,0.0015965822922800166,0.28427000093566435,3.0,1.0,[69065],0.132816509027031,COMPLETE
13,13,0.021531851737913072,2023-02-05 17:34:13,2023-02-05 17:39:58,0 days 00:05:45,0.3999446104033556,0.002383444169453065,6.618602886177547e-07,0.2946427675073775,3.0,1.0,[69065],0.13772725282254072,COMPLETE
14,14,0.022563925410193236,2023-02-05 17:39:58,2023-02-05 17:45:25,0 days 00:05:27,0.0015758241213350795,0.013611598356405366,0.0011899386802926007,0.01749582833953792,3.0,1.0,[69065],0.14807710501411764,COMPLETE
15,15,0.013594227041672721,2023-02-05 17:45:25,2023-02-05 17:51:03,0 days 00:05:38,0.6663849454964772,5.73038065666172e-06,7.951144950630428e-06,9.28942340241003,3.0,1.0,[69065],0.09648729001491398,COMPLETE
16,16,0.01887789212578096,2023-02-05 17:51:03,2023-02-05 17:56:34,0 days 00:05:31,0.0882575081287143,0.0004077151111544006,0.008639131267439799,0.19401709791912553,3.0,1.0,[69065],0.1262834759803476,COMPLETE
17,17,0.018814169084844887,2023-02-05 17:56:34,2023-02-05 18:02:10,0 days 00:05:36,5.130892093629565,7.51190862775417e-06,8.536118912612816e-07,0.6369095660943174,3.0,1.0,[69065],0.12049630384991655,COMPLETE
18,18,0.02266885201949004,2023-02-05 18:02:10,2023-02-05 18:07:35,0 days 00:05:25,0.000509649469563124,3.216705667542778e-05,4.8583833435061456e-05,0.00011837254772277898,3.0,1.0,[69065],0.1562259349905956,COMPLETE
19,19,0.020426725621878587,2023-02-05 18:07:35,2023-02-05 18:13:01,0 days 00:05:26,13.378859979333217,0.0002593040478033944,1.623165341197308e-08,0.13108064438724115,3.0,1.0,[69065],0.12355508494581659,COMPLETE
20,20,0.02698456830461984,2023-02-05 18:13:01,2023-02-05 18:18:29,0 days 00:05:28,0.015483777880816712,0.6705611715307761,2.3388529934654472e-07,40.06417428314426,3.0,1.0,[69065],0.17675839044281547,COMPLETE
21,21,0.02150619155421635,2023-02-05 18:18:29,2023-02-05 18:24:00,0 days 00:05:31,0.07612664320942204,0.0037868706689594958,3.687471729149869e-07,0.10661886738649123,3.0,1.0,[69065],0.13874598645891775,COMPLETE
22,22,0.02104416049996335,2023-02-05 18:24:00,2023-02-05 18:29:35,0 days 00:05:35,0.8925461454033887,0.0005908404821143175,0.00018850138996478216,0.3707846631098764,3.0,1.0,[69065],0.13045983925613905,COMPLETE
23,23,0.020689350359566688,2023-02-05 18:29:35,2023-02-05 18:34:58,0 days 00:05:23,48.372076919536234,0.0008640356534564903,5.0581272612227105e-08,0.008023140842642544,3.0,1.0,[69065],0.1318225829561733,COMPLETE
24,24,0.021885019941274998,2023-02-05 18:34:58,2023-02-05 18:40:34,0 days 00:05:36,0.3566230798617809,0.04502916198832477,8.007730053731845e-06,3.4617601043637727,3.0,1.0,[69065],0.1464724781958726,COMPLETE
25,25,0.02048924952522885,2023-02-05 18:40:34,2023-02-05 18:45:59,0 days 00:05:25,0.000611773180367933,3.69542243813635e-05,7.378493307220691e-06,0.04173871365797164,3.0,1.0,[69065],0.13528662596896043,COMPLETE
26,26,0.01690932143020974,2023-02-05 18:45:59,2023-02-05 18:51:16,0 days 00:05:17,70.24220587685981,2.7185467212477998e-06,0.008522103509548538,0.0006776044661309181,3.0,1.0,[69065],0.12028906350302108,COMPLETE
27,27,0.021874742971299335,2023-02-05 18:51:16,2023-02-05 18:56:43,0 days 00:05:27,8.541248370545068,0.012471999758047978,0.007539428500372268,0.023172689529258824,3.0,1.0,[69065],0.1432647518773214,COMPLETE
28,28,0.01619825147667146,2023-02-05 18:56:43,2023-02-05 19:02:22,0 days 00:05:39,0.8126459493638202,6.381344524241521e-05,1.453912731638026e-07,13.456632123461421,3.0,1.0,[69065],0.10352321072111587,COMPLETE
